raceId,driverId,constructorId,number,position,grid,positionText,points,laps,status,millis,time,Fastestlap,Fastlaptime,Fastlaspeed,rank
Australian Grand Prix,barrichello,williams,11,16,17,R,0,48,Transmission,,,47,1:31.404,208.861,12
Australian Grand Prix,rosberg,mercedes,8,17,7,R,0,22,Collision,,,21,1:33.503,204.173,17
Australian Grand Prix,kovalainen,lotus_racing,20,18,19,R,0,19,Water leak,,,19,1:34.918,201.129,20
Australian Grand Prix,michael_schumacher,mercedes,7,19,11,R,0,19,Collision,,,13,1:35.319,200.283,21
Australian Grand Prix,maldonado,williams,12,20,15,R,0,9,Transmission,,,7,1:34.102,202.873,18
Australian Grand Prix,kobayashi,sauber,16,21,9,D,0,58,Disqualified,,,51,1:30.384,211.218,9
Australian Grand Prix,perez,sauber,17,22,13,D,0,58,Disqualified,,,39,1:29.962,212.209,6
Australian Grand Prix,liuzzi,hrt,23,23,0,F,0,0,Did not qualify,,,,,,
Australian Grand Prix,karthikeyan,hrt,22,24,0,F,0,0,Did not qualify,,,,,,
Malaysian Grand Prix,vettel,red_bull,1,1,1,1,25,56,Finished,5859832,1:37:39.832,33,1:41.539,196.523,6
Malaysian Grand Prix,button,mclaren,4,2,4,2,18,56,Finished,5863093,+3.261,50,1:41.264,197.057,4
Malaysian Grand Prix,heidfeld,renault,9,3,6,3,15,56,Finished,5884907,+25.075,47,1:41.547,196.508,7
Malaysian Grand Prix,webber,red_bull,2,4,3,4,12,56,Finished,5886216,+26.384,46,1:40.571,198.415,1
Malaysian Grand Prix,massa,ferrari,6,5,7,5,10,56,Finished,5896790,+36.958,41,1:41.999,195.637,9
Malaysian Grand Prix,alonso,ferrari,5,6,5,6,8,56,Finished,5897080,+37.248,49,1:40.717,198.127,2
Australian Grand Prix,button,mclaren,3,1,2,1,25,58,Finished,5649565,1:34:09.565,56,1:29.187,214.053,1
Australian Grand Prix,vettel,red_bull,1,2,6,2,18,58,Finished,5651704,+2.139,57,1:29.417,213.503,2
Australian Grand Prix,hamilton,mclaren,4,3,1,3,15,58,Finished,5653640,+4.075,57,1:29.538,213.214,4
Australian Grand Prix,webber,red_bull,2,4,5,4,12,58,Finished,5654112,+4.547,57,1:29.438,213.452,3
Australian Grand Prix,alonso,ferrari,5,5,12,5,10,58,Finished,5671130,+21.565,52,1:30.277,211.469,7
